STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-11-2008,41,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-18-2008,42,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-25-2008,43,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Nov-01-2008,44,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-08-2008,45,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Nov-15-2008,46,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Nov-22-2008,47,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Nov-29-2008,48,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Dec-06-2008,49,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Dec-13-2008,50,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-20-2008,51,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-27-2008,52,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-03-2009,53,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-10-2009,1,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jan-17-2009,2,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Jan-24-2009,3,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Jan-31-2009,4,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Feb-07-2009,5,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Feb-14-2009,6,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Feb-21-2009,7,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Feb-28-2009,8,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Mar-07-2009,9,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Mar-14-2009,10,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-21-2009,11,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Mar-28-2009,12,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-04-2009,13,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-11-2009,14,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-18-2009,15,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-25-2009,16,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,May-02-2009,17,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-09-2009,18,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-16-2009,19,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-23-2009,20,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-30-2009,21,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-06-2009,22,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-13-2009,23,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-20-2009,24,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-27-2009,25,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-04-2009,26,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-11-2009,27,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-18-2009,28,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-25-2009,29,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-01-2009,30,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-08-2009,31,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-15-2009,32,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Aug-22-2009,33,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Aug-29-2009,34,2008-09
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Sep-05-2009,35,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Sep-12-2009,36,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Sep-19-2009,37,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Sep-26-2009,38,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Oct-03-2009,39,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Oct-10-2009,40,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Oct-17-2009,41,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Oct-24-2009,42,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Oct-31-2009,43,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Nov-07-2009,44,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Nov-14-2009,45,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 9,High,Nov-21-2009,46,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Nov-28-2009,47,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Dec-05-2009,48,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Dec-12-2009,49,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Dec-19-2009,50,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 8,High,Dec-26-2009,51,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Jan-02-2010,52,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Jan-09-2010,1,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Jan-16-2010,2,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Jan-23-2010,3,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Jan-30-2010,4,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Feb-06-2010,5,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Feb-13-2010,6,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Feb-20-2010,7,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 5,Low,Feb-27-2010,8,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Mar-06-2010,9,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 7,Moderate,Mar-13-2010,10,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Mar-20-2010,11,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 2,Minimal,Mar-27-2010,12,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-03-2010,13,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-10-2010,14,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-17-2010,15,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-24-2010,16,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-01-2010,17,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-08-2010,18,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-15-2010,19,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-22-2010,20,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-29-2010,21,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-05-2010,22,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-12-2010,23,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-19-2010,24,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-26-2010,25,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-03-2010,26,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-10-2010,27,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-17-2010,28,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-24-2010,29,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-31-2010,30,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-07-2010,31,2009-10
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-14-2010,32,2009-10
